focus_share,mean_relative_weight,outcome,checkpoint,object
0.0659,1.1118,PASS,8B,car
0.3877,9.1343,PASS,8B,dining table
0.2243,3.583,PASS,8B,car
0.1338,2.4639,PASS,8B,car
0.0921,1.6852,PASS,8B,car
0.249,7.4708,PASS,8B,dining table
0.2479,1.9833,PASS,8B,dog
0.085,1.0465,PASS,8B,car
0.0942,2.1686,PASS,8B,dog
0.1156,2.947,PASS,8B,potted plant
0.1388,2.5245,PASS,8B,person
0.1638,1.5008,PASS,8B,handbag
0.0772,2.3203,PASS,8B,person
0.1159,3.0588,PASS,8B,car
0.2428,2.7338,PASS,8B,car
0.0858,1.417,PASS,8B,dining table
0.2524,7.9161,PASS,8B,person
0.1015,1.6334,PASS,8B,car
0.1142,1.1226,PASS,8B,car
0.2637,3.8917,PASS,8B,cup
0.1503,1.7975,PASS,8B,dining table
0.1164,1.9299,PASS,8B,potted plant
0.1184,1.3451,PASS,8B,dining table
0.0828,1.1138,PASS,8B,car
0.1043,1.3187,PASS,8B,car
0.123,3.706,PASS,8B,car
0.2461,3.8936,PASS,8B,car
0.1714,3.4594,PASS,8B,car
0.1812,4.4989,PASS,8B,person
0.128,1.0041,PASS,8B,car
0.1052,2.9237,PASS,8B,person
0.3726,7.0381,PASS,8B,cup
0.3016,5.844,PASS,8B,traffic light
0.5701,18.3801,PASS,8B,cup
0.3538,6.5699,PASS,8B,bowl
0.1327,1.9801,PASS,8B,person
0.1309,3.8202,PASS,8B,traffic light
0.0818,1.7116,PASS,8B,car
0.1418,6.5127,PASS,8B,cup
0.1841,4.0913,PASS,8B,skis
0.1386,1.2107,PASS,8B,dining table
0.1104,0.9815,PASS,8B,car
0.152,3.5377,PASS,8B,cup
0.1701,1.9902,PASS,8B,dining table
0.1149,1.9819,PASS,8B,person
0.1511,3.6281,PASS,8B,car
0.3709,7.9464,PASS,8B,backpack
0.2599,4.1626,PASS,8B,backpack
0.2043,3.5749,PASS,8B,person
0.0653,1.6532,PASS,8B,car
0.1159,1.6974,PASS,8B,tv
0.2309,2.7852,PASS,8B,car
